category,question,ground_truth,source_law_key,source_law_name,source_article_id,source_article_number,source_legal_nature
الدستور,ما الطبيعة القانونية لحق العمل في الدستور المصري؟,حق أساسي/حرية: العمل حق وواجب تكفله الدولة. يُمنع العمل الجبري إلا بقانون ولخدمة عامة وبمقابل عادل.,egyptian_constitution,الدستور المصري,EG-CONST-ART-012,12,حق أساسي/حرية
الدستور,ما الطبيعة القانونية لحرية الفكر والرأي والتعبير في الدستور المصري؟,حق أساسي/حرية: حرية الفكر والرأي والتعبير مكفولة بكافة الوسائل.,egyptian_constitution,الدستور المصري,EG-CONST-ART-065,65,حق أساسي/حرية
الدستور,ما الطبيعة القانونية لحق تنظيم الاجتماعات العامة والمواكب والتظاهرات في الدستور المصري؟,حق أساسي/حرية: حق التظاهر والاجتماع السلمي مكفول بالإخطار. الاجتماعات الخاصة لا تتطلب إخطاراً ولا يجوز مراقبتها.,egyptian_constitution,الدستور المصري,EG-CONST-ART-073,73,حق أساسي/حرية
الدستور,ما مضمون المادة الخاصة بحظر العمل الجبري في الدستور المصري؟,العمل حق، وواجب، وشرف تكفله الدولة. ولا يجوز إلزام أى مواطن بالعمل جبراً، إلا بمقتضى قانون، ولأداء خدمة عامة، لمدة محددة، وبمقابل عادل، ودون إخلال بالحقوق الأساسية للمكلفين بالعمل.,egyptian_constitution,الدستور المصري,EG-CONST-ART-012,12,حق أساسي/حرية
الدستور,هل يكفل الدستور حرية تكوين الجمعيات والمؤسسات الأهلية؟ وما شروط ذلك بإيجاز؟,تكوين الجمعيات الأهلية حق بالإخطار. تعمل بحرية ولا تُحل إلا بحكم قضائي. تحظر الجمعيات السرية أو العسكرية.,egyptian_constitution,الدستور المصري,EG-CONST-ART-075,75,حق أساسي/حرية
الدستور,ما الطبيعة القانونية لمبدأ سيادة القانون في الدستور المصري؟,مبدأ دستوري: سيادة القانون هي أساس الحكم، والدولة تخضع للقانون. استقلال القضاء وحصانته ضمانات أساسية للحقوق.,egyptian_constitution,الدستور المصري,EG-CONST-ART-094,94,مبدأ دستوري
الدستور,ما حدود تحريك الدعاوى لوقف أو مصادرة الأعمال الفنية والأدبية وفق الدستور؟,حرية الإبداع مكفولة. لا يجوز الحبس في جرائم النشر الفني (إلا في حالات محددة كالتحريض على العنف). الدعاوى ضد الأعمال الفنية تكون عبر النيابة العامة.,egyptian_constitution,الدستور المصري,EG-CONST-ART-067,67,حق أساسي/حرية
الدستور,هل يجوز الحبس في الجرائم المرتكبة بسبب علانية المنتج الفني أو الأدبي وفق الدستور؟,حرية الإبداع مكفولة. لا يجوز الحبس في جرائم النشر الفني (إلا في حالات محددة كالتحريض على العنف). الدعاوى ضد الأعمال الفنية تكون عبر النيابة العامة.,egyptian_constitution,الدستور المصري,EG-CONST-ART-067,67,حق أساسي/حرية
الدستور,ما مضمون المادة المتعلقة بالحق في التقاضي وعدم سقوط الدعوى بالتقادم في الاعتداء على الحقوق والحريات؟,كل اعتداء على الحرية الشخصية أو حرمة الحياة الخاصة للمواطنين، وغيرها من الحقوق والحريات العامة التى يكفلها الدستور والقانون، جريمة لا تسقط الدعوى الجنائية ولا المدنية الناشئة عنها بالتقادم، وللمضرور إقامة الدعوى الجنائية بالطريق المباشر. وتكفل الدولة تعويضا عادلا لمن وقع عليه الاعتداء، وللمجلس القومى لحقوق الإنسان إبلاغ النيابة العامة عن أى انتهاك لهذه الحقوق، وله أن يتدخل فى الدعوى المدنية منضماً إلى المضرور بناء على طلبه، وذلك كله على الوجه المبين بالقانون.,egyptian_constitution,الدستور المصري,EG-CONST-ART-099,99,غير محدد / يحتاج مراجعة بشرية
الدستور,ما الفرق بين حق الاجتماع الخاص وحق التظاهر وفق الدستور؟,حق التظاهر والاجتماع السلمي مكفول بالإخطار. الاجتماعات الخاصة لا تتطلب إخطاراً ولا يجوز مراقبتها.,egyptian_constitution,الدستور المصري,EG-CONST-ART-073,73,حق أساسي/حرية
